Zip Code,Location,Population,Avg. Income/H/hold,City,Latitude,Longitude,NatRank
76070,"32.228928, -97.666587",448,58333.00,Nemo,32.228928,97.666587,"3,305"
75252,"32.997798, -96.788354","22,456",58257.00,Dallas,32.997798,96.788354,"3,326"
78249,"29.574047, -98.600797","34,190",58101.00,San Antonio,29.574047,98.600797,"3,359"
78748,"30.159688, -97.823287","25,361",57710.00,Austin,30.159688,97.823287,"3,441"
75115,"32.597066, -96.864418","37,761",57510.00,Desoto,32.597066,96.864418,"3,485"
78657,"30.522968, -98.383107","1,113",57500.00,Horseshoe Bay,30.522968,98.383107,"3,491"
78641,"30.562551, -97.907897","19,224",57294.00,Leander,30.562551,97.907897,"3,531"
75001,"32.962011, -96.837526","8,259",57064.00,Addison,32.962011,96.837526,"3,598"
76126,"32.629590, -97.529624","15,454",56993.00,Fort Worth,32.62959,97.529624,"3,623"
75154,"32.524330, -96.815123","27,657",56975.00,Red Oak,32.52433,96.815123,"3,627"
76148,"32.865978, -97.250048","24,700",56910.00,Fort Worth,32.865978,97.250048,"3,646"
77041,"29.857989, -95.585771","25,275",56746.00,Houston,29.857989,95.585771,"3,689"
75201,"32.787764, -96.800135","3,348",56675.00,Dallas,32.787764,96.800135,"3,706"
77373,"30.062169, -95.383966","36,388",56662.00,Spring,30.062169,95.383966,"3,715"
76180,"32.862042, -97.214758","54,195",56634.00,North Richland Hills,32.862042,97.214758,"3,723"
77571,"29.688431, -95.057338","33,736",56552.00,La Porte,29.688431,95.057338,"3,743"
76041,"32.237512, -96.842324",366,56500.00,Forreston,32.237512,96.842324,"3,752"
75039,"32.885215, -96.940626","2,816",56451.00,Irving,32.885215,96.940626,"3,766"
78006,"29.880340, -98.711385","19,247",56446.00,Boerne,29.88034,98.711385,"3,767"
76087,"32.682762, -97.782301","17,389",56356.00,Weatherford,32.682762,97.782301,"3,788"
77493,"29.853215, -95.831456","14,608",56235.00,Katy,29.853215,95.831456,"3,815"
76179,"32.913522, -97.433835","20,644",56233.00,Fort Worth,32.913522,97.433835,"3,816"
77454,"29.534344, -96.227178",190,56167.00,Lissie,29.534344,96.227178,"3,827"
75080,"32.973389, -96.740769","43,285",55973.00,Richardson,32.973389,96.740769,"3,872"
76131,"32.889334, -97.356006","7,207",55894.00,Fort Worth,32.889334,97.356006,"3,893"
78152,"29.436590, -98.205116","2,301",55845.00,Saint Hedwig,29.43659,98.205116,"3,908"
77066,"29.958498, -95.500223","27,638",55760.00,Houston,29.958498,95.500223,"3,932"
77318,"30.450370, -95.517843","9,884",55717.00,Willis,30.45037,95.517843,"3,945"
76712,"31.529107, -97.279463","19,233",55619.00,Woodway,31.529107,97.279463,"3,977"
76643,"31.453502, -97.195340","11,279",55619.00,Hewitt,31.453502,97.19534,"3,978"
78250,"29.510075, -98.663687","66,601",55558.00,San Antonio,29.510075,98.663687,"3,983"
77380,"30.136972, -95.468360","19,320",55506.00,Spring,30.136972,95.46836,"3,992"
77867,"30.747828, -96.582183",176,55500.00,Mumford,30.747828,96.582183,"3,999"
76953,"31.733518, -100.351594",64,55250.00,Tennyson,31.733518,0.351594,"4,082"
77845,"30.555403, -96.271201","29,171",55235.00,College Station,30.555403,96.271201,"4,085"
75065,"33.119252, -97.014193","8,348",55082.00,Lake Dallas,33.119252,97.014193,"4,123"
75454,"33.285696, -96.560853","2,393",54861.00,Melissa,33.285696,96.560853,"4,179"
77355,"30.149919, -95.742835","14,304",54829.00,Magnolia,30.149919,95.742835,"4,184"
77904,"28.931627, -97.016392","23,787",54766.00,Victoria,28.931627,97.016392,"4,197"
78703,"30.294204, -97.765114","19,585",54591.00,Austin,30.294204,97.765114,"4,241"
76205,"33.160156, -97.107296","35,424",54433.00,Denton,33.160156,97.107296,"4,281"
77375,"30.074047, -95.636732","34,384",54356.00,Tomball,30.074047,95.636732,"4,308"
78154,"29.593180, -98.282790","17,633",54269.00,Schertz,29.59318,98.28279,"4,332"
